word,count_in_spam,count_in_nonspam,P(word),P(non-spam),P(spam),P(word|spam),P(word|nonspam),P(spam|word),P(non_spam|word)
miraculous,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
drugs,22,0,1.7e-05,0.761173,0.238827,8.2e-05,0.0,1.161947,0.0
canyon,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ndf,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
abused,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
smtpsvc,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
spontaneity,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
handier,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
cerise,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
recepcionista,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
planoconvex,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ailin,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
signups,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
foriegner,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bridgeport,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ashlar,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
opterm,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
craven,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bryans,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
tock,7,0,5e-06,0.761173,0.238827,2.6e-05,0.0,1.161947,0.0
capybara,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dowlnoadable,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
expending,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rollercoaster,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
roda,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
pubiishing,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
cinderella,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
andyour,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
thatlead,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
gar,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ostensible,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
utilitiesl,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
spel,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
fgh,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
snippet,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cevitamic,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
abstractive,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
commissionaire,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
doomed,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lenticular,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
makeover,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
carven,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
exactiy,16,0,1.2e-05,0.761173,0.238827,6e-05,0.0,1.161947,0.0
campaigning,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
attic,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
dvdcopyxp,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dazzle,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
technologically,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
patric,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
quaint,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
aguardo,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
conflicted,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
myrlburns,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rmzmail,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
errrectlon,28,0,2.2e-05,0.761173,0.238827,0.000105,0.0,1.161947,0.0
raider,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ool,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
equipose,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
gudgeon,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
laughs,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
saddlebow,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
fid,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
peopie,34,0,2.6e-05,0.761173,0.238827,0.000127,0.0,1.161947,0.0
pennystock,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
roumanian,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
scarecrow,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
stealing,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rmaier,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
deveioper,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
macrocosm,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
nosso,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
aqui,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
squirters,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cbs,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
davina,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
uneducated,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pills,11,0,8e-06,0.761173,0.238827,4.1e-05,0.0,1.161947,0.0
daggers,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
olmas,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
whim,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
uklinux,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
galoot,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
healthen,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
comdavid,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
botox,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
cancer,17,0,1.3e-05,0.761173,0.238827,6.4e-05,0.0,1.161947,0.0
mahmood,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
peopl,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
caucasian,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
stairway,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
clickthrus,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
acct,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
arboretum,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
audibility,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
converter,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ravishing,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
duely,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
thecopyright,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ymw,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sledding,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
deadpanpolitics,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
foothill,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
uraland,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bronx,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
abnormality,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
contraband,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
northampton,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ireand,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
azusa,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
viking,18,0,1.4e-05,0.761173,0.238827,6.7e-05,0.0,1.161947,0.0
monticule,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
winnipeg,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
guofeng,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
philtre,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
chanceof,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cleansweep,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dhurrie,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
erections,8,0,6e-06,0.761173,0.238827,3e-05,0.0,1.161947,0.0
wires,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
blond,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
mariah,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
siratu,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
compareproducts,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
secretlyattract,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
voc,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
acadia,35,0,2.7e-05,0.761173,0.238827,0.000131,0.0,1.161947,0.0
banquet,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
queensley,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
twentieth,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
greatitemsweblines,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cellulose,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
nagasaki,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
bereavement,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
akron,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
commtomm,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
djf,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
chlorous,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tribesman,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ochoa,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cruelty,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
piracy,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
barron,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
verticallv,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
hackers,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
undeliverables,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
downioad,14,0,1.1e-05,0.761173,0.238827,5.2e-05,0.0,1.161947,0.0
darlington,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pudenda,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ehicles,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
itt,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
armful,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
understading,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
oyu,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
andordered,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wisethe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
intergrity,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
smailer,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
injured,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
gle,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
displaying,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
amounted,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
molten,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
assays,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
ncora,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
edic,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
ali,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
netratings,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
misdeem,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rhapsodical,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dann,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
laguna,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
tetm,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pinpointing,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
redit,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
deejaymail,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
successfu,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
wherry,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
motoryacht,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
gambling,19,0,1.5e-05,0.761173,0.238827,7.1e-05,0.0,1.161947,0.0
hijacked,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
gauleiter,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wentworth,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dimorphous,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tfi,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pianist,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
imit,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
injected,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
viennese,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
assim,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sds,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
kime,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
feverfew,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
afflicted,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ldupnr,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
manners,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
ioqos,10,0,8e-06,0.761173,0.238827,3.7e-05,0.0,1.161947,0.0
findgoodstuffhere,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
sparking,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
regulable,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
urinary,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
worries,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
sensing,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sail,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
astrid,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
mizzle,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
reconnaissance,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
fuliy,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wealso,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ebt,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
realoemsales,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
votaress,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
coruscate,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
iplanet,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
yoou,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cadent,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pricelist,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
conscience,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
objetivo,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rathcairn,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cryptography,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
ajaokuta,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
segovia,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
engrossed,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
outsources,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
gssgeomatics,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
moko,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
scoreboard,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
nakedmail,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
smyrna,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
citizen,14,0,1.1e-05,0.761173,0.238827,5.2e-05,0.0,1.161947,0.0
codicil,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
afdt,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
foundmy,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
shelton,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
droves,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
fal,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
intec,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
citrus,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
exceptiona,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
ereksononline,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
analyzer,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
dose,66,0,5.1e-05,0.761173,0.238827,0.000247,0.0,1.161947,0.0
installs,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
botoxforless,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
aber,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
faarakxavoxcadetxjpir,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lpplng,8,0,6e-06,0.761173,0.238827,3e-05,0.0,1.161947,0.0
widest,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
amply,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lansquenet,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
eyo,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
constancias,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
soru,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
aawesome,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
alms,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
vermouth,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
stokc,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
jumpstart,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
whenthe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
stopsendingresumes,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
fans,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
chevron,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
fool,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
purification,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
olugbade,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
tayana,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
orthodontist,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pickel,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
baselabbas,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lottery,20,0,1.5e-05,0.761173,0.238827,7.5e-05,0.0,1.161947,0.0
masterdisc,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
dignity,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rightful,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
willbe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
barbados,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
zonline,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
heisse,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
morphology,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
boatyard,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
maceuticai,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
shining,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bernardina,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
thepaypal,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
esoy,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
propecia,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
melinite,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
internationalist,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
resold,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
resalable,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
aji,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
trapped,7,0,5e-06,0.761173,0.238827,2.6e-05,0.0,1.161947,0.0
politician,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
coml,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
webmake,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
sync,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
flanigan,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
turquoise,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
afast,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
wileyprint,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
optima,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
mv,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
ppu,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
emboss,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dastard,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
obviousiy,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
someday,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
troops,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
substantival,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
smithville,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
groceteria,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
usl,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
unemployment,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
conspiracies,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
jefa,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
unconventional,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
personals,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
arsine,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
infuriating,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
overa,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
achy,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pussies,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bard,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
karenina,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
motorised,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
myshoppingplace,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
ieader,16,0,1.2e-05,0.761173,0.238827,6e-05,0.0,1.161947,0.0
sn,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
noandbye,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
insta,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bdo,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
partir,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
refinancingoreduce,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
earner,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
